category,subcategory,status,is_terminal
Client,ordering_institution,Onboarding,false
Client,ordering_institution,Active,false
Client,ordering_institution,Suspended,false
Client,ordering_institution,Offboarded,true
Patient,patient,Active,false
Patient,patient,Inactive,false
Patient,patient,Deceased,true
Patient,patient,Merged,true
Order,lab_order,Placed,false
Order,lab_order,InProgress,false
Order,lab_order,Completed,true
Order,lab_order,Cancelled,true
Sample,raw_specimen,Received,false
Sample,raw_specimen,Accessioned,false
Sample,raw_specimen,QC_Passed,false
Sample,raw_specimen,Rejected,true
Sample,raw_specimen,Consumed,true
Sample,library_sample,Prepped,false
Sample,library_sample,Loaded,false
Sample,library_sample,Sequencing,false
Sample,library_sample,Sequenced,true
Sample,library_sample,Failed,true
Batch,illumina_run,Planned,false
Batch,illumina_run,Loading,false
Batch,illumina_run,Running,false
Batch,illumina_run,Complete,true
Batch,illumina_run,Failed,true
Result,sample_result,Pending,false
Result,sample_result,Processing,false
Result,sample_result,Complete,false
Result,sample_result,Reviewed,false
Result,sample_result,Released,false
Result,sample_result,Archived,true
Result,sample_result,Failed,true
Task,bioinformatics_pipeline_analysis,Queued,false
Task,bioinformatics_pipeline_analysis,Running,false
Task,bioinformatics_pipeline_analysis,Succeeded,true
Task,bioinformatics_pipeline_analysis,Failed,true
Task,bioinformatics_pipeline_analysis,Retrying,false
Task,bioinformatics_pipeline_analysis,Cancelled,true
Task,data_archiving,Queued,false
Task,data_archiving,Running,false
Task,data_archiving,Succeeded,true
Task,data_archiving,Failed,true
Task,data_archiving,Retrying,false
Task,data_archiving,Cancelled,true
